Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.5825     673.69263174],[ 0.49819048 44.38898819],[  7.         555.99813313],[  9.         807.63223481],"[2, 5, 6, 4, 25, 10, 15, 19, 22, 21, 8, 13, 14, 16, 9, 24, 7, 1, 12, 23, 3, 20, 18, 17, 11]","(7.0, 555.9981331262024)"
1,312,[  7.3575     629.81376671],[ 0.47926376 24.82401303],[  7.         555.99813313],[  8.         665.28087979],"[2, 5, 6, 4, 25, 10, 15, 19, 22, 21, 8, 13, 14, 16, 9, 24, 7, 1, 12, 23, 3, 20, 18, 17, 11]","(7.0, 555.9981331262024)"
2,332,[  7.205      604.82633073],[ 0.40370162 18.43002571],[  7.         548.91249425],[  8.         628.59702379],"[25, 19, 3, 16, 18, 11, 15, 14, 10, 5, 8, 2, 9, 21, 12, 4, 1, 6, 13, 17, 23, 22, 20, 24, 7]","(7.0, 548.9124942549154)"
3,320,[  7.1125     585.96536962],[ 0.31598062 15.23595654],[  7.         541.62086913],[  8.         603.74398526],"[19, 15, 12, 6, 14, 3, 7, 8, 9, 22, 2, 4, 21, 20, 13, 17, 18, 23, 24, 11, 16, 10, 25, 1, 5]","(7.0, 541.6208691347749)"
4,316,[  7.0725     569.95672819],[ 0.259314   11.21604047],[  7.         519.67097204],[  8.         587.85048437],"[22, 25, 23, 20, 24, 4, 15, 6, 7, 2, 12, 17, 1, 21, 10, 11, 9, 8, 13, 16, 5, 3, 19, 14, 18]","(7.0, 519.6709720449796)"
5,320,[  7.0275     557.99049232],[0.16353516 9.54634206],[  7.        493.9631415],[  8.         567.26630819],"[9, 1, 5, 4, 8, 11, 3, 10, 7, 2, 20, 21, 25, 16, 13, 6, 14, 15, 22, 23, 24, 17, 19, 18, 12]","(7.0, 493.9631414989668)"
6,316,[  7.0425     550.41893304],[ 0.20172692 11.66518897],[  7.         487.64963813],[  8.         558.01272333],"[9, 1, 5, 23, 8, 11, 3, 10, 7, 2, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 487.64963813125524)"
7,298,[  7.0725     540.46032355],[ 0.259314   14.25532055],[  7.         487.64963813],[  8.         555.99813313],"[9, 1, 5, 23, 8, 11, 3, 10, 7, 2, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 487.64963813125524)"
8,326,[  7.015      527.98684434],[ 0.12155246 13.20073671],[  7.         481.03263362],[  8.         541.62086913],"[9, 1, 5, 23, 10, 11, 3, 8, 7, 2, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 481.03263361713186)"
9,322,[  7.         516.29785085],[ 0.         13.40424545],[  7.         476.59106194],[  7.         529.44208072],"[22, 25, 23, 20, 24, 19, 15, 1, 7, 2, 12, 17, 6, 21, 10, 11, 9, 8, 13, 4, 5, 3, 16, 14, 18]","(7.0, 476.5910619420145)"
10,314,[  7.0025     504.85348995],[ 0.04993746 13.14168114],[  7.         471.86036264],[  8.         519.67097204],"[9, 1, 5, 11, 8, 23, 3, 10, 7, 2, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 471.86036264108003)"
11,322,[  7.         491.63657586],[0.         5.77445819],[  7.         467.81190578],[  7.         502.67802902],"[9, 1, 5, 2, 8, 11, 3, 10, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 467.8119057760133)"
12,326,[  7.         487.03386047],[0.         5.33177861],[  7.         467.81190578],[  7.        493.9631415],"[9, 1, 5, 2, 8, 11, 3, 10, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 467.8119057760133)"
13,310,[  7.         482.23885655],[0.         5.36055573],[  7.         465.52212849],[  7.         487.64963813],"[10, 1, 5, 2, 8, 11, 3, 9, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 465.5221284904088)"
14,334,[  7.         477.63159458],[0.         4.85395271],[  7.         462.01915814],[  7.         483.47532519],"[9, 1, 5, 2, 8, 11, 3, 10, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 18, 19, 12]","(7.0, 462.019158144936)"
15,324,[  7.         473.07011185],[0.         3.78702375],[  7.         462.01915814],[  7.        477.3881928],"[9, 1, 5, 2, 8, 11, 3, 10, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 18, 19, 12]","(7.0, 462.019158144936)"
16,316,[  7.         469.32237827],[0.         2.65575166],[  7.         453.70861597],[  7.         471.86036264],"[3, 1, 5, 2, 8, 11, 9, 10, 7, 23, 20, 21, 4, 16, 13, 6, 14, 15, 22, 25, 24, 17, 19, 18, 12]","(7.0, 453.7086159708566)"
17,332,[  7.         466.84393994],[0.         2.44487916],[  7.         448.36593835],[  7.         469.50639601],"[9, 1, 5, 2, 8, 11, 3, 4, 7, 23, 20, 21, 10, 16, 13, 6, 14, 15, 22, 25, 24, 17, 18, 19, 12]","(7.0, 448.36593835496615)"
18,306,[  7.         465.13910412],[0.         3.21365389],[  7.         448.36593835],[  7.         467.81190578],"[9, 1, 5, 2, 8, 11, 3, 4, 7, 23, 20, 21, 10, 16, 13, 6, 14, 15, 22, 25, 24, 17, 18, 19, 12]","(7.0, 448.36593835496615)"
19,314,[  7.         462.36337064],[0.         3.67968947],[  7.         430.33962128],[  7.         465.52212849],"[9, 1, 5, 7, 8, 4, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 430.33962127964656)"
20,308,[  7.         460.08488309],[0.         4.80158193],[  7.         427.68355409],[  7.         463.01498778],"[7, 1, 5, 9, 8, 4, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 427.6835540904456)"
21,304,[  7.        456.6878056],[0.         6.04927191],[  7.         427.68355409],[  7.         462.01915814],"[7, 1, 5, 9, 8, 4, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 427.6835540904456)"
22,346,[  7.         451.87325777],[0.         5.97193142],[  7.         425.71131541],[  7.         459.72938086],"[9, 1, 4, 7, 8, 5, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 425.7113154139204)"
23,318,[  7.         447.70714353],[0.         6.61397591],[  7.         425.71131541],[  7.         453.70861597],"[9, 1, 4, 7, 8, 5, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 425.7113154139204)"
24,304,[  7.         443.30797602],[0.         8.21601918],[  7.         425.71131541],[  7.         448.36593835],"[9, 1, 4, 7, 8, 5, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 425.7113154139204)"
25,322,[  7.        437.7957301],[0.        9.1663342],[  7.         425.71131541],[  7.         448.36593835],"[9, 1, 4, 7, 8, 5, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 425.7113154139204)"
26,320,[  7.         428.81644645],[0.         2.41923698],[  7.         421.89080646],[  7.         434.91239344],"[7, 1, 5, 9, 8, 4, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 12, 19, 18, 17]","(7.0, 421.8908064593683)"
27,310,[  7.         426.70022225],[0.        1.0829111],[  7.        420.5319008],[  7.         428.31856616],"[7, 1, 4, 9, 8, 5, 3, 10, 11, 2, 20, 21, 23, 15, 13, 6, 14, 16, 22, 25, 24, 17, 19, 18, 12]","(7.0, 420.5319007950398)"
