Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.61       671.39325074],[ 0.49284886 44.33769565],[  7.         550.93976937],[  9.         795.19606085],"[6, 17, 18, 19, 16, 13, 9, 12, 3, 1, 23, 5, 14, 15, 11, 4, 7, 24, 10, 8, 22, 20, 2, 21, 25]","(7.0, 550.9397693698548)"
1,320,[  7.4        627.42944312],[ 0.48989795 25.59728323],[  7.         550.93976937],[  8.         663.11637645],"[6, 17, 18, 19, 16, 13, 9, 12, 3, 1, 23, 5, 14, 15, 11, 4, 7, 24, 10, 8, 22, 20, 2, 21, 25]","(7.0, 550.9397693698548)"
2,322,[  7.2525     602.38903193],[ 0.43444649 19.87779988],[  7.         550.27439158],[  8.         629.72841818],"[15, 3, 1, 7, 6, 23, 20, 5, 10, 12, 17, 19, 11, 22, 8, 9, 14, 16, 18, 25, 24, 21, 4, 2, 13]","(7.0, 550.2743915821002)"
3,308,[  7.205      583.40780342],[ 0.40370162 14.79070523],[  7.        535.0294097],[  8.         603.84333281],"[2, 6, 10, 7, 5, 15, 16, 19, 18, 3, 11, 25, 24, 8, 17, 20, 21, 1, 9, 14, 4, 23, 22, 12, 13]","(7.0, 544.3952217370519)"
4,316,[  7.09       569.14639054],[ 0.28618176 11.83952629],[  7.         510.68774593],[  8.         584.73749865],"[16, 19, 8, 6, 1, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 18, 3, 21, 11, 10, 13, 15, 17]","(7.0, 510.68774593385535)"
5,314,[  7.0425     558.20693729],[0.20172692 9.00534463],[  7.         510.68774593],[  8.         570.23901695],"[16, 19, 8, 6, 1, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 18, 3, 21, 11, 10, 13, 15, 17]","(7.0, 510.68774593385535)"
6,304,[  7.04      550.9814943],[0.19595918 8.89949873],[  7.         510.68774593],[  8.        556.5122787],"[16, 19, 8, 6, 1, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 18, 3, 21, 11, 10, 13, 15, 17]","(7.0, 510.68774593385535)"
7,332,[  7.07      544.8218549],[ 0.25514702 10.05346973],[  7.         510.68774593],[  8.         554.47407444],"[16, 19, 8, 6, 1, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 18, 3, 21, 11, 10, 13, 15, 17]","(7.0, 510.68774593385535)"
8,330,[  7.13       536.70304992],[ 0.33630343 12.0523322 ],[  7.         495.65999332],[  8.         548.88945871],"[16, 19, 1, 6, 8, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 18, 3, 21, 11, 10, 13, 15, 17]","(7.0, 495.6599933199737)"
9,326,[  7.185      526.04463444],[ 0.38829757 12.5188988 ],[  7.         473.93597796],[  8.        541.5336726],"[16, 19, 1, 6, 8, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 15, 3, 21, 11, 10, 13, 18, 17]","(7.0, 473.93597796025676)"
10,338,[  7.         514.80933462],[0.         9.12244132],[  7.         473.93597796],[  7.         529.20901934],"[16, 19, 1, 6, 8, 9, 4, 5, 20, 25, 23, 24, 22, 7, 2, 14, 12, 15, 3, 21, 11, 10, 13, 18, 17]","(7.0, 473.93597796025676)"
