Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.635      671.57134238],[ 0.51163952 44.33081518],[  7.         553.06456877],[  9.         817.54370694],"[21, 9, 2, 20, 18, 17, 6, 10, 14, 12, 8, 11, 5, 13, 7, 4, 3, 19, 15, 24, 16, 23, 22, 25, 1]","(7.0, 553.0645687657995)"
1,308,[  7.4075     627.12763929],[ 0.49136926 24.82166019],[  7.         535.23595688],[  8.         662.36196192],"[23, 13, 9, 1, 2, 5, 21, 15, 11, 3, 4, 24, 25, 12, 16, 19, 18, 8, 10, 22, 20, 6, 7, 17, 14]","(7.0, 535.2359568827775)"
2,324,[  7.305      602.74762411],[ 0.46040743 18.88506772],[  7.         535.23595688],[  8.         627.13781269],"[23, 13, 9, 1, 2, 5, 21, 15, 11, 3, 4, 24, 25, 12, 16, 19, 18, 8, 10, 22, 20, 6, 7, 17, 14]","(7.0, 535.2359568827775)"
3,306,[  7.1325     583.54336845],[ 0.33903355 15.93571496],[  7.         535.23595688],[  8.         605.82043359],"[23, 13, 9, 1, 2, 5, 21, 15, 11, 3, 4, 24, 25, 12, 16, 19, 18, 8, 10, 22, 20, 6, 7, 17, 14]","(7.0, 535.2359568827775)"
4,308,[  7.0825     567.27920981],[ 0.27512497 12.04891992],[  7.         518.15173592],[  8.         582.05369417],"[12, 13, 9, 1, 22, 5, 21, 15, 11, 3, 4, 24, 25, 23, 16, 19, 18, 8, 10, 2, 20, 6, 7, 17, 14]","(7.0, 518.1517359202161)"
5,320,[  7.07       555.24085191],[ 0.25514702 10.0382421 ],[  7.         517.92007823],[  8.         569.74820924],"[23, 13, 9, 1, 2, 5, 21, 25, 11, 3, 4, 24, 15, 12, 16, 19, 18, 8, 10, 22, 20, 6, 7, 17, 14]","(7.0, 517.9200782274935)"
6,328,[  7.0325     545.61160181],[0.17732386 9.42121419],[  7.         508.97495735],[  8.         557.34940174],"[21, 9, 2, 20, 18, 17, 13, 10, 14, 12, 8, 1, 5, 6, 7, 4, 3, 19, 15, 24, 16, 23, 22, 25, 11]","(7.0, 508.97495735411303)"
7,310,[  7.025      536.06223108],[0.15612495 6.74562808],[  7.         508.97495735],[  8.         547.67206571],"[21, 9, 2, 20, 18, 17, 13, 10, 14, 12, 8, 1, 5, 6, 7, 4, 3, 19, 15, 24, 16, 23, 22, 25, 11]","(7.0, 508.97495735411303)"
8,334,[  7.         530.63628345],[0.         7.47888929],[  7.         493.54347191],[  7.         536.96187057],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 22, 21, 20, 3, 23]","(7.0, 493.54347190642204)"
9,292,[  7.         524.48249211],[0.         8.06130852],[  7.        472.1470817],[  7.         533.64833333],"[12, 13, 9, 1, 22, 20, 21, 15, 11, 3, 4, 24, 25, 23, 16, 19, 18, 8, 10, 2, 5, 6, 7, 17, 14]","(7.0, 472.1470817027322)"
10,314,[  7.         516.80307812],[0.         6.26247344],[  7.        472.1470817],[  7.         527.53674898],"[12, 13, 9, 1, 22, 20, 21, 15, 11, 3, 4, 24, 25, 23, 16, 19, 18, 8, 10, 2, 5, 6, 7, 17, 14]","(7.0, 472.1470817027322)"
11,316,[  7.         513.71824097],[0.         8.50242977],[  7.        472.1470817],[  7.         518.15173592],"[12, 13, 9, 1, 22, 20, 21, 15, 11, 3, 4, 24, 25, 23, 16, 19, 18, 8, 10, 2, 5, 6, 7, 17, 14]","(7.0, 472.1470817027322)"
12,332,[  7.         508.53744933],[ 0.         10.73362852],[  7.         459.59168873],[  7.         517.92007823],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 459.5916887291681)"
13,316,[  7.         499.99802068],[ 0.         12.05834889],[  7.         459.59168873],[  7.         511.78726105],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 459.5916887291681)"
14,316,[  7.         489.96541639],[ 0.         11.08511171],[  7.         459.59168873],[  7.         507.06500503],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 459.5916887291681)"
15,306,[  7.        480.9030216],[ 0.         10.09875461],[  7.         459.59168873],[  7.         493.54347191],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 459.5916887291681)"
16,328,[  7.         471.77751583],[0.         5.11846734],[  7.         452.94372398],[  7.         481.31877619],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 5, 19, 16, 14, 7, 2, 4, 18, 12, 11, 10, 3, 21, 20, 22, 23]","(7.0, 452.9437239769846)"
17,308,[  7.         468.39322562],[0.         5.05316537],[  7.         452.94372398],[  7.        472.1470817],"[13, 15, 24, 25, 17, 8, 6, 9, 1, 5, 19, 16, 14, 7, 2, 4, 18, 12, 11, 10, 3, 21, 20, 22, 23]","(7.0, 452.9437239769846)"
18,318,[  7.         464.05599864],[0.         4.65868163],[  7.         451.15281404],[  7.        472.1470817],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
19,336,[  7.         459.73072016],[0.         1.98854134],[  7.         451.15281404],[  7.         465.55607167],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
20,320,[  7.         458.82632598],[0.         2.11939348],[  7.         451.15281404],[  7.         459.59168873],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
21,332,[  7.         457.65901442],[0.         2.99929213],[  7.         451.15281404],[  7.         459.59168873],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
22,314,[  7.         455.25402547],[0.         3.17666627],[  7.         451.15281404],[  7.         459.59168873],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
23,332,[  7.         452.47114001],[0.         0.76210112],[  7.         451.15281404],[  7.         453.59688572],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 5, 3, 21, 20, 22, 23]","(7.0, 451.15281404025353)"
24,302,[  7.        451.9246648],[0.         0.82878747],[  7.         449.71455985],[  7.         452.94372398],"[13, 15, 24, 25, 17, 1, 6, 9, 8, 10, 19, 16, 14, 7, 2, 4, 18, 12, 11, 3, 5, 21, 20, 22, 23]","(7.0, 449.7145598516434)"
25,314,[  7.         451.15080567],[0.         0.38532275],[  7.         444.60288167],[  7.        451.3635646],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 11, 5, 3, 21, 20, 22, 23]","(7.0, 444.602881668616)"
26,310,[  7.         451.05547778],[0.         0.54221767],[  7.         444.60288167],[  7.         451.15281404],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 11, 5, 3, 21, 20, 22, 23]","(7.0, 444.602881668616)"
27,314,[  7.         450.92102685],[0.         0.83371813],[  7.         444.60288167],[  7.         451.15281404],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 11, 5, 3, 21, 20, 22, 23]","(7.0, 444.602881668616)"
28,338,[  7.         450.67154037],[0.         1.08748927],[  7.         444.60288167],[  7.         451.15281404],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 11, 5, 3, 21, 20, 22, 23]","(7.0, 444.602881668616)"
29,330,[  7.         450.02668708],[0.         1.49256342],[  7.         444.60288167],[  7.         451.15281404],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 11, 5, 3, 21, 20, 22, 23]","(7.0, 444.602881668616)"
30,336,[  7.         449.04533041],[0.         1.81126718],[  7.         439.63020537],[  7.         450.31751603],"[13, 15, 24, 25, 17, 8, 6, 9, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 11, 10, 3, 21, 20, 22, 23]","(7.0, 439.6302053672182)"
31,306,[  7.         447.80533841],[0.         2.39761926],[  7.         427.57283485],[  7.         449.71455985],"[13, 15, 24, 25, 11, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 427.57283485080455)"
32,314,[  7.         445.74483159],[0.         3.22161872],[  7.         427.57283485],[  7.         448.94640625],"[13, 15, 24, 25, 11, 8, 6, 9, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 427.57283485080455)"
33,332,[  7.         443.40500735],[0.         3.49974165],[  7.        425.1006989],[  7.         444.60288167],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 425.1006988958049)"
34,308,[  7.         441.66855969],[0.        5.0686614],[  7.        425.1006989],[  7.         444.60288167],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 425.1006988958049)"
35,312,[  7.         438.16223997],[0.         5.99867638],[  7.         424.05465033],[  7.         444.60288167],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 10, 12, 14, 16, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 424.05465032898877)"
36,332,[  7.         433.02634991],[0.         5.48666975],[  7.         424.05465033],[  7.         439.63020537],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 10, 12, 14, 16, 7, 2, 1, 18, 19, 17, 5, 3, 21, 20, 22, 23]","(7.0, 424.05465032898877)"
37,310,[  7.        427.9888142],[0.         1.72827828],[  7.         423.74094059],[  7.         431.91635943],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 10, 12, 16, 14, 7, 2, 1, 18, 19, 17, 3, 5, 21, 20, 22, 23]","(7.0, 423.740940585582)"
38,340,[  7.         426.97387381],[0.         1.20037003],[  7.        418.4256644],[  7.         427.57283485],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 418.42566440437713)"
39,312,[  7.         426.16715419],[0.         1.50713883],[  7.        418.4256644],[  7.         427.57283485],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 418.42566440437713)"
40,328,[  7.         424.73923714],[0.         1.01515281],[  7.        418.4256644],[  7.         426.52678628],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 418.42566440437713)"
41,346,[  7.         424.12223916],[0.         1.20049408],[  7.        418.4256644],[  7.        425.1006989],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 418.42566440437713)"
42,322,[  7.         423.56384599],[0.         1.46095319],[  7.        418.4256644],[  7.         424.05465033],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 418.42566440437713)"
43,322,[  7.         422.95631503],[0.        2.0169358],[  7.         417.37961584],[  7.         424.05465033],"[13, 15, 24, 25, 11, 8, 9, 6, 4, 5, 12, 14, 16, 1, 2, 7, 18, 19, 17, 10, 3, 21, 20, 22, 23]","(7.0, 417.379615837561)"
44,338,[  7.         421.63612228],[0.         2.48115999],[  7.         412.43154935],[  7.         423.74094059],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
45,326,[  7.         419.52529817],[0.         1.98174481],[  7.         412.43154935],[  7.         423.38007922],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
46,318,[  7.         418.27833202],[0.         0.83490027],[  7.         412.43154935],[  7.        418.4256644],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
47,336,[  7.         418.11988268],[0.        1.1669037],[  7.         412.43154935],[  7.        418.4256644],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
48,318,[  7.         417.77637812],[0.         1.62647478],[  7.         412.43154935],[  7.        418.4256644],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
49,314,[  7.         416.97048871],[0.         2.20346075],[  7.         412.43154935],[  7.        418.4256644],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
50,318,[  7.         415.39249435],[0.         2.34923395],[  7.         412.43154935],[  7.        418.4256644],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 20, 22, 23]","(7.0, 412.4315493465106)"
51,342,[  7.         413.35334368],[0.         1.48013144],[  7.         411.03710062],[  7.         416.72529703],"[13, 15, 24, 25, 10, 8, 9, 6, 4, 5, 12, 16, 14, 7, 2, 1, 18, 19, 17, 11, 3, 21, 23, 22, 20]","(7.0, 411.0371006219746)"
