Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6725     674.35200811],[ 0.49522091 45.13101013],[  7.         557.45015406],[  9.         804.18040364],"[25, 12, 23, 5, 17, 20, 22, 10, 18, 15, 19, 24, 16, 14, 1, 7, 11, 21, 2, 8, 3, 13, 4, 9, 6]","(7.0, 557.4501540599688)"
1,156,[  7.4575     646.75565892],[ 0.50318361 31.81033884],[  7.         557.45015406],[  9.         711.34433552],"[25, 12, 23, 5, 17, 20, 22, 10, 18, 15, 19, 24, 16, 14, 1, 7, 11, 21, 2, 8, 3, 13, 4, 9, 6]","(7.0, 557.4501540599688)"
2,154,[  7.425      627.93192678],[ 0.494343   24.89890052],[  7.         557.45015406],[  8.        670.4748281],"[25, 12, 23, 5, 17, 20, 22, 10, 18, 15, 19, 24, 16, 14, 1, 7, 11, 21, 2, 8, 3, 13, 4, 9, 6]","(7.0, 557.4501540599688)"
3,166,[  7.3675    612.7252969],[ 0.48212421 20.25371182],[  7.         557.45015406],[  8.         639.65814551],"[25, 12, 23, 5, 17, 20, 22, 10, 18, 15, 19, 24, 16, 14, 1, 7, 11, 21, 2, 8, 3, 13, 4, 9, 6]","(7.0, 557.4501540599688)"
4,138,[  7.33       600.37489701],[ 0.47021272 17.36464238],[  7.        533.6966567],[  8.         626.02582197],"[13, 3, 5, 18, 9, 12, 17, 10, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 533.6966567003886)"
5,154,[  7.2825     590.89213077],[ 0.45021523 15.32072845],[  7.        533.6966567],[  8.         609.58310678],"[13, 3, 5, 18, 9, 12, 17, 10, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 533.6966567003886)"
6,160,[  7.2875     582.17736277],[ 0.45259667 14.33180132],[  7.        533.6966567],[  8.         602.42651529],"[13, 3, 5, 18, 9, 12, 17, 10, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 533.6966567003886)"
7,158,[  7.2525     572.12249301],[ 0.43444649 11.6625467 ],[  7.         524.06846897],[  8.        589.0322246],"[5, 16, 14, 9, 2, 11, 10, 6, 24, 23, 3, 1, 8, 7, 21, 22, 17, 20, 25, 12, 13, 19, 18, 15, 4]","(7.0, 525.4349080073774)"
8,158,[  7.19      564.9390724],[ 0.3923009  10.85605519],[  7.         515.22237975],[  8.         580.82746524],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 15, 5, 1, 2, 8, 6, 3, 17, 14, 21, 24, 25, 4, 16, 18]","(7.0, 515.2223797482601)"
9,166,[  7.1325    558.8933152],[0.33903355 9.28120251],[  7.         515.22237975],[  8.         571.26141026],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 15, 5, 1, 2, 8, 6, 3, 17, 14, 21, 24, 25, 4, 16, 18]","(7.0, 515.2223797482601)"
10,160,[  7.055     553.2502849],[0.22798026 9.29620193],[  7.         515.22237975],[  8.         561.56241749],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 15, 5, 1, 2, 8, 6, 3, 17, 14, 21, 24, 25, 4, 16, 18]","(7.0, 515.2223797482601)"
11,156,[  7.055     548.6709969],[ 0.22798026 11.31918559],[  7.         515.22237975],[  8.         557.45015406],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 15, 5, 1, 2, 8, 6, 3, 17, 14, 21, 24, 25, 4, 16, 18]","(7.0, 515.2223797482601)"
12,158,[  7.0775     542.95855755],[ 0.26738315 12.13329068],[  7.         501.89620698],[  8.         556.55075485],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 501.8962069842792)"
13,154,[  7.065      537.20101775],[ 0.24652586 11.34071796],[  7.         501.89620698],[  8.         551.17121849],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 501.8962069842792)"
14,158,[  7.1        530.75532044],[0.3        9.45199534],[  7.         501.89620698],[  8.         546.15266053],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 501.8962069842792)"
15,162,[  7.0825    524.7089384],[0.27512497 6.21649889],[  7.         501.89620698],[  8.         534.53072641],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 501.8962069842792)"
16,170,[  7.0525     521.19049657],[0.22303307 5.6954842 ],[  7.         497.88165437],[  8.         525.43490801],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 20, 23, 8, 6, 11, 7, 4, 1, 16, 14, 25, 24]","(7.0, 497.8816543663125)"
17,154,[  7.07       518.78606636],[0.25514702 6.2184173 ],[  7.         497.88165437],[  8.         524.54882816],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 20, 23, 8, 6, 11, 7, 4, 1, 16, 14, 25, 24]","(7.0, 497.8816543663125)"
18,170,[  7.035      515.83185011],[0.18377976 6.06636061],[  7.         497.88165437],[  8.         524.54882816],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 20, 23, 8, 6, 11, 7, 4, 1, 16, 14, 25, 24]","(7.0, 497.8816543663125)"
19,168,[  7.01       512.47480159],[0.09949874 4.941206  ],[  7.         497.88165437],[  8.         520.55213781],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 20, 23, 8, 6, 11, 7, 4, 1, 16, 14, 25, 24]","(7.0, 497.8816543663125)"
20,162,[  7.         510.36021913],[0.         5.21962425],[  7.         497.88165437],[  7.         515.22237975],"[13, 3, 9, 10, 5, 12, 17, 18, 21, 22, 2, 19, 15, 20, 23, 8, 6, 11, 7, 4, 1, 16, 14, 25, 24]","(7.0, 497.8816543663125)"
21,162,[  7.         507.74841396],[0.        4.8660313],[  7.         494.42914102],[  7.         514.63633812],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 14, 2, 3, 5, 8, 6, 1, 17, 15, 21, 24, 25, 4, 16, 18]","(7.0, 494.4291410211056)"
22,180,[  7.         505.31567875],[0.         3.93659447],[  7.         494.42914102],[  7.         511.81393405],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 14, 2, 3, 5, 8, 6, 1, 17, 15, 21, 24, 25, 4, 16, 18]","(7.0, 494.4291410211056)"
23,138,[  7.        502.7940644],[0.         2.47765483],[  7.         494.42914102],[  7.         507.79199143],"[23, 20, 9, 10, 7, 13, 19, 11, 22, 12, 14, 2, 3, 5, 8, 6, 1, 17, 15, 21, 24, 25, 4, 16, 18]","(7.0, 494.4291410211056)"
24,162,[  7.         501.27600995],[0.         1.87252645],[  7.         483.97538663],[  7.         503.02489767],"[2, 3, 9, 10, 5, 18, 17, 12, 21, 22, 13, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 483.9753866265474)"
25,180,[  7.         500.67559753],[0.         2.39608298],[  7.         483.97538663],[  7.         501.89620698],"[2, 3, 9, 10, 5, 18, 17, 12, 21, 22, 13, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 483.9753866265474)"
26,152,[  7.         499.73171634],[0.         3.16849316],[  7.         483.97538663],[  7.         501.89620698],"[2, 3, 9, 10, 5, 18, 17, 12, 21, 22, 13, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 483.9753866265474)"
27,162,[  7.        498.4910565],[0.        3.6297354],[  7.         483.97538663],[  7.         501.89620698],"[2, 3, 9, 10, 5, 18, 17, 12, 21, 22, 13, 19, 15, 14, 23, 8, 6, 11, 7, 4, 1, 16, 20, 25, 24]","(7.0, 483.9753866265474)"
28,150,[  7.        496.6761309],[0.        3.9483206],[  7.         475.38193312],[  7.         500.99632129],"[2, 3, 9, 10, 5, 12, 17, 18, 21, 22, 13, 19, 16, 14, 23, 8, 6, 11, 7, 4, 1, 15, 20, 25, 24]","(7.0, 475.3819331186217)"
29,164,[  7.         494.90839086],[0.         4.25941477],[  7.         475.38193312],[  7.         499.32053027],"[2, 3, 9, 10, 5, 12, 17, 18, 21, 22, 13, 19, 16, 14, 23, 8, 6, 11, 7, 4, 1, 15, 20, 25, 24]","(7.0, 475.3819331186217)"
30,156,[  7.         493.27865944],[0.         4.71863809],[  7.         465.64463804],[  7.        497.6633679],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
31,174,[  7.         491.02891491],[0.         4.75278317],[  7.         465.64463804],[  7.        497.6633679],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
32,160,[  7.         488.52559353],[0.         4.33505833],[  7.         465.64463804],[  7.         494.42914102],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
33,168,[  7.         486.51817239],[0.         4.08922748],[  7.         465.64463804],[  7.         490.90450488],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
34,178,[  7.        484.4768114],[0.         3.86335208],[  7.         465.64463804],[  7.        489.5051925],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
35,166,[  7.         482.85812876],[0.         3.77601513],[  7.         465.64463804],[  7.         486.74252082],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
36,148,[  7.         481.44916449],[0.         4.11010717],[  7.         465.64463804],[  7.        484.6460973],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
37,160,[  7.        479.9447115],[0.         4.60530071],[  7.         465.64463804],[  7.         483.97538663],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 5, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 4]","(7.0, 465.64463803741285)"
38,170,[  7.         477.91792503],[0.         4.66261409],[  7.        464.9756958],[  7.        482.8827972],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 4, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 5]","(7.0, 464.97569579901847)"
39,172,[  7.         475.74979627],[0.         4.29419986],[  7.        464.9756958],[  7.         481.70862372],"[12, 16, 14, 8, 9, 11, 24, 21, 10, 23, 3, 6, 4, 7, 1, 2, 22, 20, 25, 17, 13, 19, 18, 15, 5]","(7.0, 464.97569579901847)"
