Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.61       674.12455532],[ 0.50783856 45.34459859],[  7.         540.17920141],[  9.         802.91768707],"[23, 18, 19, 13, 15, 14, 7, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 12, 9, 3, 10, 1, 22, 2]","(7.0, 540.1792014110378)"
1,316,[  7.36      627.6552741],[ 0.48       28.34723495],[  7.         520.43240742],[  8.         666.84788114],"[11, 9, 15, 25, 24, 20, 1, 8, 4, 3, 2, 22, 10, 6, 23, 13, 12, 7, 21, 5, 18, 17, 14, 16, 19]","(7.0, 520.4324074210173)"
2,306,[  7.2375     599.19892434],[ 0.42555111 23.50981354],[  7.        505.6131063],[  8.        629.6090357],"[22, 16, 3, 12, 15, 14, 21, 1, 7, 5, 2, 6, 20, 13, 8, 4, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 505.6131062984643)"
3,286,[  7.145      577.46448575],[ 0.35210084 19.56427521],[  7.        505.6131063],[  8.         601.65360361],"[22, 16, 3, 12, 15, 14, 21, 1, 7, 5, 2, 6, 20, 13, 8, 4, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 505.6131062984643)"
4,294,[  7.0825     558.03845019],[ 0.27512497 15.98342057],[  7.         480.41766195],[  8.        577.2349122],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
5,306,[  7.005      543.60501308],[ 0.07053368 14.76070915],[  7.         480.41766195],[  8.         560.01973825],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
6,296,[  7.005      530.18487981],[ 0.07053368 15.05735979],[  7.         480.41766195],[  8.         550.01386599],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
7,288,[  7.015      514.81050353],[ 0.12155246 11.5553081 ],[  7.         480.41766195],[  8.       536.983395],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
8,282,[  7.0025     505.37387999],[0.04993746 8.96491607],[  7.         480.41766195],[  8.         516.72126519],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
9,310,[  7.0125     498.59343426],[ 0.11110243 10.00285789],[  7.         480.41766195],[  8.         510.07984642],"[22, 16, 3, 12, 15, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 480.4176619525284)"
10,304,[  7.02       489.37476643],[0.14       7.75683107],[  7.         467.13394111],[  8.        505.6131063],"[22, 15, 3, 12, 16, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 467.13394111126456)"
11,306,[  7.         483.01027704],[0.         4.31251378],[  7.         467.13394111],[  7.        489.0467538],"[22, 15, 3, 12, 16, 14, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 467.13394111126456)"
12,290,[  7.         479.88970895],[0.         2.05246786],[  7.         466.08789254],[  7.         480.41766195],"[22, 15, 3, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 466.08789254444844)"
13,296,[  7.         479.18320618],[0.         3.06398052],[  7.         466.08789254],[  7.         480.41766195],"[22, 15, 3, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 466.08789254444844)"
14,290,[  7.         477.53271781],[0.         4.24279947],[  7.         454.10024548],[  7.         480.41766195],"[22, 15, 3, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 454.1002454782844)"
15,308,[  7.         474.33932249],[0.         4.69994926],[  7.         454.10024548],[  7.         480.41766195],"[22, 15, 3, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 454.1002454782844)"
16,304,[  7.         470.28217465],[0.         4.81507481],[  7.         454.10024548],[  7.         475.83705357],"[22, 15, 3, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 454.1002454782844)"
17,286,[  7.         465.73622408],[0.         3.70184211],[  7.         452.51193427],[  7.         467.13394111],"[22, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 452.5119342705584)"
18,302,[  7.         463.80224886],[0.         5.16277305],[  7.         449.11908768],[  7.         467.13394111],"[22, 15, 11, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 3, 25, 24, 23, 20]","(7.0, 449.1190876845361)"
19,276,[  7.         459.69038766],[0.         5.70911793],[  7.         449.11908768],[  7.         466.08789254],"[22, 15, 11, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 3, 25, 24, 23, 20]","(7.0, 449.1190876845361)"
20,284,[  7.         454.01901946],[0.        0.9289199],[  7.         449.11908768],[  7.         458.87360357],"[22, 15, 11, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 3, 25, 24, 23, 20]","(7.0, 449.1190876845361)"
21,304,[  7.         453.65074014],[0.         1.09077632],[  7.         449.11908768],[  7.         454.10024548],"[22, 15, 11, 12, 14, 16, 6, 1, 2, 5, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 3, 25, 24, 23, 20]","(7.0, 449.1190876845361)"
22,316,[  7.        453.0600518],[0.         1.52935642],[  7.         447.53077648],[  7.         454.10024548],"[22, 15, 11, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 13, 10, 21, 17, 18, 19, 9, 3, 25, 24, 23, 20]","(7.0, 447.5307764768101)"
23,280,[  7.         451.86618677],[0.         1.65901095],[  7.         447.31465262],[  7.         453.81953787],"[22, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 11, 10, 21, 17, 18, 19, 9, 13, 25, 24, 23, 20]","(7.0, 447.3146526154735)"
24,284,[  7.         450.61185909],[0.         1.76300383],[  7.         447.31465262],[  7.         452.51193427],"[22, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 11, 10, 21, 17, 18, 19, 9, 13, 25, 24, 23, 20]","(7.0, 447.3146526154735)"
25,278,[  7.         448.91724472],[0.         0.60474269],[  7.        443.5995804],[  7.         449.51963709],"[10, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 443.5995803956123)"
26,300,[  7.         448.62393955],[0.         0.85640008],[  7.        443.5995804],[  7.         449.11908768],"[10, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 443.5995803956123)"
27,304,[  7.         448.02682225],[0.         1.03009738],[  7.        443.5995804],[  7.         449.11908768],"[10, 15, 3, 12, 14, 16, 5, 1, 2, 6, 7, 4, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 443.5995803956123)"
28,290,[  7.         447.24995033],[0.         0.97163602],[  7.         442.52922635],[  7.         447.92456684],"[22, 15, 11, 12, 14, 16, 3, 1, 2, 5, 7, 4, 8, 9, 10, 21, 17, 18, 19, 13, 6, 25, 24, 23, 20]","(7.0, 442.52922635074685)"
29,282,[  7.         446.71269333],[0.         1.29365447],[  7.         442.52922635],[  7.         447.53077648],"[22, 15, 11, 12, 14, 16, 3, 1, 2, 5, 7, 4, 8, 9, 10, 21, 17, 18, 19, 13, 6, 25, 24, 23, 20]","(7.0, 442.52922635074685)"
30,314,[  7.         445.95376741],[0.         1.50973946],[  7.         439.62452329],[  7.         447.31465262],"[10, 15, 3, 12, 14, 16, 5, 1, 2, 4, 7, 6, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 439.62452328651193)"
31,306,[  7.         444.83873573],[0.         1.33473059],[  7.         439.62452329],[  7.         446.98074083],"[10, 15, 3, 12, 14, 16, 5, 1, 2, 4, 7, 6, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 439.62452328651193)"
