Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.7125     672.48096536],[ 0.47942022 45.15995685],[  7.         515.52549117],[  9.         800.96067791],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 12, 1, 8, 3, 24, 19, 17, 5, 23, 16, 14, 18]","(7.0, 515.5254911683135)"
1,340,[  7.445      627.14148605],[ 0.49696579 31.0432839 ],[  7.         515.52549117],[  8.         677.52142096],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 12, 1, 8, 3, 24, 19, 17, 5, 23, 16, 14, 18]","(7.0, 515.5254911683135)"
2,330,[  7.345      597.83386113],[ 0.47536828 23.81153546],[  7.        502.8609712],[  8.         629.55483248],"[23, 15, 25, 20, 24, 12, 18, 13, 5, 17, 7, 8, 3, 19, 16, 14, 22, 10, 11, 4, 21, 9, 6, 2, 1]","(7.0, 502.8609711990229)"
3,304,[  7.275      576.98006233],[ 0.44651428 20.88846615],[  7.        502.8609712],[  8.         599.17555477],"[23, 15, 25, 20, 24, 12, 18, 13, 5, 17, 7, 8, 3, 19, 16, 14, 22, 10, 11, 4, 21, 9, 6, 2, 1]","(7.0, 502.8609711990229)"
4,316,[  7.2        559.45622531],[ 0.4        20.55880789],[  7.        502.8609712],[  8.         581.96015169],"[23, 15, 25, 20, 24, 12, 18, 13, 5, 17, 7, 8, 3, 19, 16, 14, 22, 10, 11, 4, 21, 9, 6, 2, 1]","(7.0, 502.8609711990229)"
5,316,[  7.1075     540.42926055],[ 0.30974788 15.85399304],[  7.         493.88574782],[  8.         563.84032389],"[14, 19, 18, 12, 5, 3, 25, 21, 15, 17, 11, 13, 16, 4, 9, 6, 1, 22, 8, 7, 23, 24, 20, 10, 2]","(7.0, 493.88574782068963)"
6,312,[  7.13       526.37459449],[ 0.33630343 11.71920365],[  7.         486.27841508],[  8.         544.77317041],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 1, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 486.27841508439775)"
7,328,[  7.0225     516.34289097],[0.1483029  7.90756293],[  7.         486.27841508],[  8.         525.01457905],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 1, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 486.27841508439775)"
8,326,[  7.         509.79916578],[0.         7.41086938],[  7.         486.27841508],[  7.         515.52549117],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 1, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 486.27841508439775)"
9,302,[  7.0025     503.02731721],[0.04993746 6.39888289],[  7.         486.27841508],[  8.         512.58646466],"[7, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 1, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 486.27841508439775)"
10,328,[  7.         497.87087601],[0.         5.41424211],[  7.         472.35154358],[  7.        502.8609712],"[1, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 7, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 472.3515435769596)"
11,330,[  7.         493.44657075],[0.         4.76747635],[  7.         472.35154358],[  7.         500.86292378],"[1, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 7, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 472.3515435769596)"
12,324,[  7.         489.82455209],[0.         4.52786094],[  7.         472.35154358],[  7.         493.88574782],"[1, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 7, 8, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 472.3515435769596)"
13,322,[  7.         485.46531472],[0.         3.81806112],[  7.         471.77033612],[  7.         492.02198314],"[3, 11, 6, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 5, 1, 8, 7, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 471.77033612405313)"
14,330,[  7.         482.72179102],[0.         4.93691014],[  7.        457.4875516],[  7.         486.27841508],"[7, 11, 6, 21, 22, 20, 25, 8, 10, 9, 15, 13, 4, 5, 1, 2, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 457.48755159766984)"
15,314,[  7.        478.6961145],[0.         5.57667151],[  7.        457.4875516],[  7.        484.4118304],"[7, 11, 6, 21, 22, 20, 25, 8, 10, 9, 15, 13, 4, 5, 1, 2, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 457.48755159766984)"
16,326,[  7.         473.16143729],[0.         3.93423154],[  7.         450.76716064],[  7.         480.07307845],"[7, 11, 5, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 6, 1, 8, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 450.767160644113)"
17,336,[  7.         470.34000467],[0.         3.95422195],[  7.         450.76716064],[  7.         472.75265139],"[7, 11, 5, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 6, 1, 8, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 450.767160644113)"
18,324,[  7.         467.55027209],[0.         4.96004621],[  7.         450.76716064],[  7.         472.35154358],"[7, 11, 5, 21, 22, 20, 25, 2, 10, 9, 15, 13, 4, 6, 1, 8, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 450.767160644113)"
19,308,[  7.         463.63293104],[0.         4.97849832],[  7.         446.45408339],[  7.       469.057511],"[7, 8, 6, 21, 22, 20, 25, 11, 10, 9, 15, 13, 4, 5, 1, 2, 3, 24, 19, 17, 12, 23, 16, 14, 18]","(7.0, 446.45408338560077)"
20,314,[  7.         459.17628155],[0.         4.56490318],[  7.         442.77772779],[  7.         463.59991532],"[10, 11, 5, 21, 22, 20, 25, 2, 7, 9, 15, 13, 4, 6, 1, 8, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 442.77772778973963)"
21,304,[  7.         455.02558894],[0.         3.46927973],[  7.         442.77772779],[  7.         460.35403847],"[10, 11, 5, 21, 22, 20, 25, 2, 7, 9, 15, 13, 4, 6, 1, 8, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 442.77772778973963)"
22,322,[  7.         452.04298256],[0.         3.04738947],[  7.         438.01421559],[  7.         456.89296115],"[7, 11, 10, 21, 22, 20, 25, 2, 5, 9, 15, 13, 4, 6, 1, 8, 3, 18, 19, 17, 24, 23, 16, 14, 12]","(7.0, 438.01421558841815)"
23,314,[  7.        449.4905026],[0.         2.46527605],[  7.         436.30559183],[  7.         450.76716064],"[10, 11, 5, 21, 22, 20, 25, 2, 7, 9, 15, 13, 8, 6, 1, 4, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 436.30559183474)"
24,318,[  7.         447.74300008],[0.         3.14602249],[  7.         434.69916312],[  7.         450.76716064],"[7, 11, 10, 21, 22, 24, 25, 2, 5, 9, 15, 13, 4, 6, 1, 8, 3, 20, 19, 17, 18, 23, 14, 16, 12]","(7.0, 434.69916311940045)"
25,300,[  7.         444.86796799],[0.         2.54180668],[  7.         434.69916312],[  7.         447.18383758],"[7, 11, 10, 21, 22, 24, 25, 2, 5, 9, 15, 13, 4, 6, 1, 8, 3, 20, 19, 17, 18, 23, 14, 16, 12]","(7.0, 434.69916311940045)"
26,312,[  7.         442.81269066],[0.         2.62987998],[  7.         434.69916312],[  7.         446.12341162],"[7, 11, 10, 21, 22, 24, 25, 2, 5, 9, 15, 13, 4, 6, 1, 8, 3, 20, 19, 17, 18, 23, 14, 16, 12]","(7.0, 434.69916311940045)"
27,320,[  7.         440.89222982],[0.         2.60161282],[  7.         430.15201894],[  7.         442.77772779],"[9, 11, 10, 21, 22, 20, 25, 2, 5, 7, 15, 13, 4, 6, 1, 8, 3, 18, 19, 17, 24, 23, 16, 14, 12]","(7.0, 430.15201894187635)"
28,318,[  7.         438.83826289],[0.         2.75074644],[  7.        430.1389554],[  7.         442.56501464],"[7, 11, 10, 21, 22, 20, 25, 2, 5, 3, 15, 13, 4, 6, 1, 8, 9, 18, 19, 17, 24, 23, 16, 14, 12]","(7.0, 430.13895539598565)"
29,306,[  7.         436.41309273],[0.         1.68620326],[  7.         429.87680264],[  7.         438.01421559],"[7, 11, 10, 21, 22, 20, 25, 2, 8, 9, 15, 13, 4, 6, 1, 5, 3, 18, 19, 17, 24, 23, 14, 16, 12]","(7.0, 429.87680264435625)"
30,318,[  7.         435.09227836],[0.         1.67623354],[  7.         426.19789419],[  7.         436.41338539],"[7, 3, 5, 2, 22, 25, 20, 21, 10, 11, 15, 13, 4, 6, 1, 8, 9, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 426.1978941935339)"
31,320,[  7.         433.71088999],[0.         1.84485177],[  7.         426.19789419],[  7.         436.15342416],"[7, 3, 5, 2, 22, 25, 20, 21, 10, 11, 15, 13, 4, 6, 1, 8, 9, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 426.1978941935339)"
32,316,[  7.         432.28220377],[0.         1.95281249],[  7.         426.09791864],[  7.         434.61109135],"[7, 9, 5, 2, 22, 25, 20, 21, 10, 11, 15, 13, 8, 6, 1, 4, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 426.09791864032167)"
33,308,[  7.         430.51553346],[0.         1.49791398],[  7.         425.55854571],[  7.        432.5700546],"[7, 5, 3, 21, 22, 24, 25, 2, 1, 9, 15, 13, 4, 6, 11, 8, 10, 20, 19, 17, 18, 23, 14, 16, 12]","(7.0, 425.55854571100775)"
