Generation,evals,avg,std,min,max,best_one,fitness_best_one
34,304,[  7.         429.40460882],[0.         1.43182729],[  7.         422.34561002],[  7.         430.15201894],"[7, 3, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 4, 6, 5, 8, 9, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 422.3456100155594)"
35,334,[  7.         428.55707854],[0.         1.78772497],[  7.         422.34561002],[  7.        430.1389554],"[7, 3, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 4, 6, 5, 8, 9, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 422.3456100155594)"
36,316,[  7.        426.9556331],[0.        1.3890842],[  7.         422.34561002],[  7.         429.87680264],"[7, 3, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 4, 6, 5, 8, 9, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 422.3456100155594)"
37,316,[  7.         425.86008009],[0.         0.88416299],[  7.         417.99491785],[  7.         426.19789419],"[7, 3, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 4, 8, 9, 24, 18, 17, 19, 23, 16, 14, 12]","(7.0, 417.99491784715246)"
38,324,[  7.         425.31946594],[0.         1.44175115],[  7.         416.27208004],[  7.         426.19789419],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 416.272080042836)"
39,328,[  7.         424.38064533],[0.         1.82749781],[  7.         416.27208004],[  7.         426.09791864],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 416.272080042836)"
40,318,[  7.         422.95133701],[0.         2.10909127],[  7.         416.27208004],[  7.        424.9881044],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 416.272080042836)"
41,304,[  7.         421.35554512],[0.         2.27239792],[  7.         416.27208004],[  7.         423.85786938],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 17, 18, 23, 16, 14, 12]","(7.0, 416.272080042836)"
42,338,[  7.         419.53699583],[0.         2.39402575],[  7.         413.94808704],[  7.         422.34561002],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 413.94808703923553)"
43,330,[  7.         417.32146618],[0.         1.45500908],[  7.         413.94808704],[  7.         421.12994623],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 413.94808703923553)"
44,318,[  7.         416.18752959],[0.         0.34365513],[  7.         413.94808704],[  7.         416.27208004],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 413.94808703923553)"
45,336,[  7.         416.03454544],[0.         0.58252398],[  7.         412.61081341],[  7.         416.27208004],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 412.61081341264656)"
46,316,[  7.         415.69726753],[0.         0.81650636],[  7.         412.61081341],[  7.         416.27208004],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 412.61081341264656)"
47,298,[  7.         415.00380682],[0.         0.85424293],[  7.         412.61081341],[  7.         416.00593688],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 412.61081341264656)"
48,338,[  7.         414.23387737],[0.         0.50926375],[  7.         412.61081341],[  7.         414.94338348],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 412.61081341264656)"
49,306,[  7.         413.80764748],[0.         0.36514914],[  7.         412.16671729],[  7.         413.94808704],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 8, 9, 6, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 412.16671729314606)"
50,318,[  7.         413.64028421],[0.         0.49089201],[  7.         412.16671729],[  7.         413.94808704],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 8, 9, 6, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 412.16671729314606)"
51,324,[  7.         413.33325527],[0.         0.56036733],[  7.         411.42609512],[  7.         413.94808704],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 9, 8, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 411.4260951181538)"
52,312,[  7.         412.86991658],[0.         0.42700197],[  7.         411.28237825],[  7.         413.44907797],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 411.28237825229166)"
53,298,[  7.         412.55152493],[0.         0.22255321],[  7.         410.99498788],[  7.         412.61081341],"[7, 4, 1, 2, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 410.9949878817418)"
54,322,[  7.         412.45159871],[0.         0.36332312],[  7.         410.82944367],[  7.         412.61081341],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 8, 9, 6, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 410.8294436665571)"
55,312,[  7.         412.25436953],[0.         0.49402797],[  7.         410.82944367],[  7.         412.61081341],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 8, 9, 6, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 410.8294436665571)"
56,340,[  7.         411.91868185],[0.         0.52874745],[  7.         410.82944367],[  7.         412.48116529],"[7, 4, 1, 2, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 8, 9, 6, 24, 17, 19, 18, 23, 16, 14, 12]","(7.0, 410.8294436665571)"
57,342,[  7.         411.47958343],[0.        0.3985546],[  7.         409.81026959],[  7.         412.08208637],"[7, 4, 1, 2, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 9, 8, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 409.810269587249)"
58,328,[  7.         411.17885968],[0.         0.28649487],[  7.         409.66655272],[  7.         411.42609512],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 8, 9, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 409.66655272138695)"
59,310,[  7.         410.95519795],[0.         0.29431368],[  7.         409.08246773],[  7.         411.28237825],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 409.0824677295304)"
60,324,[  7.         410.76035959],[0.         0.34425902],[  7.         409.08246773],[  7.         410.99498788],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 409.0824677295304)"
61,322,[  7.         410.58891153],[0.         0.45516499],[  7.         409.08246773],[  7.         410.83828213],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 409.0824677295304)"
62,314,[  7.         410.31083993],[0.         0.55388357],[  7.         409.08246773],[  7.         410.82944367],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 409.0824677295304)"
63,316,[  7.         409.81392575],[0.         0.33219984],[  7.         409.08246773],[  7.         410.74420519],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 19, 18, 17, 23, 16, 14, 12]","(7.0, 409.0824677295304)"
64,308,[  7.         409.63103097],[0.         0.21872534],[  7.         408.48183443],[  7.         409.81026959],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 9, 8, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 408.4818344268941)"
65,314,[  7.         409.51367783],[0.         0.26404469],[  7.         408.48183443],[  7.         409.66655272],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 9, 8, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 408.4818344268941)"
66,318,[  7.        409.3466315],[0.        0.3007848],[  7.         408.48183443],[  7.         409.66655272],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 6, 9, 8, 3, 20, 17, 19, 18, 23, 16, 14, 12]","(7.0, 408.4818344268941)"
67,312,[  7.         409.06671748],[0.        0.1439229],[  7.         407.21646706],[  7.         409.47154895],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
68,322,[  7.         409.03565239],[0.         0.19256627],[  7.         407.21646706],[  7.         409.08246773],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
69,318,[  7.         408.98130876],[0.         0.26875875],[  7.         407.21646706],[  7.         409.08246773],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
70,332,[  7.        408.8861958],[0.         0.34272753],[  7.         407.21646706],[  7.         409.08246773],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
71,308,[  7.        408.6549354],[0.         0.42842412],[  7.         407.21646706],[  7.         409.08246773],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
72,314,[  7.         408.32778754],[0.         0.41035934],[  7.         407.21646706],[  7.         408.48183443],"[7, 4, 2, 1, 22, 25, 20, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 24, 18, 19, 17, 23, 16, 14, 12]","(7.0, 407.21646705836434)"
73,308,[  7.         408.14394209],[0.        0.5599327],[  7.         406.06023769],[  7.         408.48183443],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.06023768978383)"
74,304,[  7.         407.75794235],[0.         0.63151773],[  7.         406.06023769],[  7.         408.48183443],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.06023768978383)"
75,336,[  7.         407.19623304],[0.         0.15161051],[  7.         406.06023769],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.06023768978383)"
76,320,[  7.         407.17303383],[0.         0.21965489],[  7.         406.06023769],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 10, 11, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.06023768978383)"
77,326,[  7.         407.10640138],[0.         0.33921543],[  7.       406.030386],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
78,320,[  7.         406.99322124],[0.         0.45612044],[  7.       406.030386],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
79,320,[  7.        406.7378806],[0.         0.56922278],[  7.       406.030386],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
80,306,[  7.         406.26547201],[0.         0.44158124],[  7.       406.030386],[  7.         407.21646706],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
81,336,[  7.         406.05702863],[0.        0.0092465],[  7.       406.030386],[  7.         406.06023769],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
82,322,[  7.        406.0528494],[0.         0.01288279],[  7.       406.030386],[  7.         406.06023769],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
83,298,[  7.         406.04561036],[0.         0.01492286],[  7.       406.030386],[  7.         406.06023769],"[7, 4, 2, 1, 22, 25, 24, 21, 11, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 23, 16, 14, 12]","(7.0, 406.0303859989864)"
84,314,[  7.         406.03108961],[0.         0.03029016],[  7.         405.44613171],[  7.         406.06023769],"[7, 4, 2, 1, 22, 25, 24, 21, 20, 10, 15, 13, 5, 3, 6, 9, 8, 11, 18, 19, 17, 23, 16, 14, 12]","(7.0, 405.4461317145404)"
85,342,[  7.         406.02746473],[0.        0.0412096],[  7.         405.44613171],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 20, 10, 15, 13, 5, 3, 6, 9, 8, 11, 18, 19, 17, 23, 16, 14, 12]","(7.0, 405.4461317145404)"
86,304,[  7.        406.0186775],[0.         0.10905309],[  7.         404.26825624],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 23, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.26825624489686)"
87,292,[  7.         406.00696899],[0.        0.1533329],[  7.         404.26825624],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 23, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.26825624489686)"
88,310,[  7.         405.97182007],[0.         0.24883924],[  7.         404.26825624],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 23, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.26825624489686)"
89,310,[  7.         405.90006158],[0.         0.36304693],[  7.         404.26825624],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 23, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.26825624489686)"
90,330,[  7.         405.75310628],[0.         0.49050013],[  7.         404.26825624],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 23, 10, 15, 13, 5, 3, 6, 9, 8, 20, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.26825624489686)"
91,326,[  7.         405.43720784],[0.         0.59040923],[  7.         404.08631618],[  7.       406.030386],"[7, 4, 2, 1, 22, 25, 24, 21, 20, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.08631618279446)"
92,332,[  7.         405.04723419],[0.         0.55909562],[  7.         404.08631618],[  7.         405.44613171],"[7, 4, 2, 1, 22, 25, 24, 21, 20, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 404.08631618279446)"
93,316,[  7.         404.68014079],[0.         0.57000597],[  7.         403.35110682],[  7.         405.44613171],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 11, 18, 19, 17, 23, 16, 14, 12]","(7.0, 403.35110682043313)"
94,330,[  7.         404.24842623],[0.         0.13605835],[  7.         401.99129129],[  7.         404.26825624],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 401.9912912886872)"
95,320,[  7.         404.22062956],[0.         0.22117212],[  7.         401.99129129],[  7.         404.26825624],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 401.9912912886872)"
96,320,[  7.         404.16359597],[0.        0.3107722],[  7.         401.99129129],[  7.         404.26825624],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 401.9912912886872)"
97,340,[  7.         404.03373669],[0.         0.44847823],[  7.         401.99129129],[  7.         404.26825624],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 401.9912912886872)"
98,314,[  7.         403.82660496],[0.         0.60414106],[  7.         401.99129129],[  7.         404.08631618],"[7, 4, 2, 1, 22, 25, 24, 20, 21, 10, 15, 13, 5, 3, 6, 9, 8, 23, 18, 19, 17, 11, 16, 14, 12]","(7.0, 401.9912912886872)"
