Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.64       673.36322778],[ 0.49537864 45.30102642],[  7.         543.28573745],[  9.         799.15373979],"[4, 24, 20, 19, 12, 7, 11, 13, 5, 3, 17, 18, 22, 1, 2, 10, 8, 6, 16, 23, 9, 14, 15, 21, 25]","(7.0, 543.2857374474164)"
1,332,[  7.42       628.13491713],[ 0.49355851 25.72781586],[  7.         543.28573745],[  8.         668.13411582],"[4, 24, 20, 19, 12, 7, 11, 13, 5, 3, 17, 18, 22, 1, 2, 10, 8, 6, 16, 23, 9, 14, 15, 21, 25]","(7.0, 543.2857374474164)"
2,300,[  7.3425     601.38739616],[ 0.47454584 18.56073292],[  7.         523.04922682],[  8.         627.69713624],"[21, 24, 20, 19, 12, 7, 11, 13, 5, 3, 17, 18, 22, 1, 2, 10, 8, 6, 16, 23, 9, 14, 15, 4, 25]","(7.0, 523.049226816336)"
3,326,[  7.315      583.32530977],[ 0.46451588 14.4506484 ],[  7.         523.04922682],[  8.         600.65368556],"[21, 24, 20, 19, 12, 7, 11, 13, 5, 3, 17, 18, 22, 1, 2, 10, 8, 6, 16, 23, 9, 14, 15, 4, 25]","(7.0, 523.049226816336)"
