Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6325     672.43032316],[ 0.50738915 45.72922362],[  7.         554.86791944],[  9.         777.90995977],"[20, 24, 22, 14, 23, 4, 17, 16, 21, 15, 25, 19, 18, 7, 6, 10, 11, 3, 1, 8, 5, 2, 9, 12, 13]","(7.0, 554.867919436995)"
1,318,[  7.3725     625.98170987],[ 0.49370411 24.40967532],[  7.         554.86791944],[  9.         665.51577288],"[20, 24, 22, 14, 23, 4, 17, 16, 21, 15, 25, 19, 18, 7, 6, 10, 11, 3, 1, 8, 5, 2, 9, 12, 13]","(7.0, 554.867919436995)"
2,318,[  7.27       601.05021258],[ 0.44955534 17.47184263],[  7.         549.67300838],[  9.        626.8599078],"[14, 18, 2, 4, 7, 1, 17, 19, 6, 8, 20, 3, 5, 10, 23, 24, 21, 16, 13, 12, 15, 11, 25, 22, 9]","(7.0, 549.6730083841989)"
3,312,[  7.1225     583.66377298],[ 0.32786239 12.67475013],[  7.         549.67300838],[  8.         599.59338543],"[14, 18, 2, 4, 7, 1, 17, 19, 6, 8, 20, 3, 5, 10, 23, 24, 21, 16, 13, 12, 15, 11, 25, 22, 9]","(7.0, 549.6730083841989)"
4,326,[  7.0725     570.68820273],[ 0.259314   11.17834923],[  7.         531.01664893],[  8.         583.59591425],"[4, 1, 16, 13, 17, 9, 22, 23, 5, 6, 3, 11, 2, 8, 20, 12, 14, 15, 10, 25, 21, 19, 18, 24, 7]","(7.0, 531.0166489266549)"
5,308,[  7.05      559.8056878],[0.21794495 9.18018622],[  7.        525.1414997],[  8.         571.28015229],"[4, 1, 16, 13, 17, 9, 22, 23, 5, 6, 3, 11, 2, 8, 20, 12, 14, 15, 10, 25, 21, 19, 18, 24, 7]","(7.0, 531.0166489266549)"
6,320,[  7.055      551.07773913],[0.22798026 6.65354732],[  7.         516.29542091],[  8.         554.86791944],"[9, 8, 11, 7, 1, 25, 20, 23, 17, 14, 12, 19, 18, 15, 5, 16, 21, 2, 3, 6, 24, 13, 10, 4, 22]","(7.0, 516.2954209092189)"
7,290,[  7.0925     545.65417858],[0.28973048 8.48148254],[  7.         511.16415908],[  8.        553.8025369],"[13, 18, 2, 4, 7, 1, 17, 19, 6, 8, 20, 3, 5, 10, 23, 24, 21, 15, 14, 12, 16, 11, 25, 22, 9]","(7.0, 511.1641590775258)"
8,330,[  7.0975     537.94088826],[0.2966374  9.32022705],[  7.         487.93868012],[  8.         549.67300838],"[14, 18, 2, 10, 5, 1, 17, 19, 6, 8, 9, 3, 7, 4, 24, 23, 21, 16, 13, 12, 15, 11, 25, 22, 20]","(7.0, 487.9386801188267)"
9,334,[  7.0825     529.38193626],[0.27512497 7.56848788],[  7.         487.93868012],[  8.         540.46129465],"[14, 18, 2, 10, 5, 1, 17, 19, 6, 8, 9, 3, 7, 4, 24, 23, 21, 16, 13, 12, 15, 11, 25, 22, 20]","(7.0, 487.9386801188267)"
10,326,[  7.15       524.22788452],[0.35707142 9.39819953],[  7.         478.33233113],[  8.         531.01664893],"[14, 18, 13, 10, 5, 1, 17, 19, 6, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 478.33233112753896)"
11,328,[  7.145      516.43518228],[ 0.35210084 10.65114578],[  7.         478.33233113],[  8.         526.75546655],"[14, 18, 13, 10, 5, 1, 17, 19, 6, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 478.33233112753896)"
12,302,[  7.0075     507.19055882],[ 0.08627717 11.27086301],[  7.         477.70273684],[  8.         519.47289653],"[20, 24, 22, 21, 23, 4, 16, 12, 17, 15, 25, 19, 18, 7, 6, 10, 11, 3, 1, 8, 5, 2, 9, 14, 13]","(7.0, 477.7027368380029)"
13,312,[  7.         496.71343757],[ 0.        10.2604292],[  7.         477.70273684],[  7.         511.16415908],"[20, 24, 22, 21, 23, 4, 16, 12, 17, 15, 25, 19, 18, 7, 6, 10, 11, 3, 1, 8, 5, 2, 9, 14, 13]","(7.0, 477.7027368380029)"
14,328,[  7.         486.65516107],[0.         3.83143628],[  7.         476.32674516],[  7.         491.12762332],"[20, 24, 22, 14, 23, 13, 17, 4, 21, 25, 15, 19, 18, 8, 6, 10, 11, 3, 1, 7, 5, 2, 9, 12, 16]","(7.0, 476.32674516479744)"
15,310,[  7.         484.08334151],[0.         4.29632682],[  7.         473.48228828],[  7.         487.93868012],"[17, 18, 13, 10, 5, 1, 14, 19, 6, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 473.48228827867536)"
16,338,[  7.        480.2776287],[0.         3.37319127],[  7.         469.84035089],[  7.         486.93089717],"[14, 18, 13, 10, 5, 1, 6, 19, 17, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 469.8403508898624)"
17,338,[  7.         477.89099357],[0.         1.17704159],[  7.         469.84035089],[  7.         478.33233113],"[14, 18, 13, 10, 5, 1, 6, 19, 17, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 469.8403508898624)"
18,332,[  7.         477.20387621],[0.         1.79455994],[  7.         469.84035089],[  7.         478.33233113],"[14, 18, 13, 10, 5, 1, 6, 19, 17, 8, 9, 3, 7, 4, 24, 23, 21, 16, 2, 12, 15, 11, 25, 22, 20]","(7.0, 469.8403508898624)"
19,320,[  7.         475.95788302],[0.        2.3032933],[  7.         469.69059746],[  7.         477.70273684],"[20, 24, 22, 14, 23, 13, 17, 10, 21, 25, 15, 19, 18, 8, 6, 4, 11, 3, 1, 7, 5, 2, 9, 12, 16]","(7.0, 469.69059745895413)"
20,324,[  7.         474.22757582],[0.         2.39507191],[  7.         469.69059746],[  7.         476.83738477],"[20, 24, 22, 14, 23, 13, 17, 10, 21, 25, 15, 19, 18, 8, 6, 4, 11, 3, 1, 7, 5, 2, 9, 12, 16]","(7.0, 469.69059745895413)"
