Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,320,[  7.63125    672.51179964],[ 0.50771393 44.84971811],[  7.         550.81161869],[  9.         786.58841364],"[7, 11, 6, 22, 25, 17, 14, 21, 2, 4, 16, 19, 18, 23, 1, 13, 24, 20, 10, 12, 8, 9, 15, 3, 5]","(7.0, 550.8116186931727)"
1,230,[  7.34375    626.95395017],[ 0.48149344 25.98008981],[  7.         541.58600405],[  9.         669.48483433],"[22, 18, 19, 20, 21, 25, 15, 14, 7, 16, 11, 6, 12, 8, 5, 1, 9, 23, 13, 17, 4, 24, 2, 10, 3]","(7.0, 541.5860040466972)"
2,228,[  7.228125  600.1516629],[ 0.41962362 17.98092508],[  7.         541.58600405],[  8.         626.91582113],"[22, 18, 19, 20, 21, 25, 15, 14, 7, 16, 11, 6, 12, 8, 5, 1, 9, 23, 13, 17, 4, 24, 2, 10, 3]","(7.0, 541.5860040466972)"
3,214,[  7.2        582.18777548],[ 0.4        13.24783374],[  7.         541.58600405],[  8.         601.44064581],"[22, 18, 19, 20, 21, 25, 15, 14, 7, 16, 11, 6, 12, 8, 5, 1, 9, 23, 13, 17, 4, 24, 2, 10, 3]","(7.0, 541.5860040466972)"
4,220,[  7.121875   569.97680025],[ 0.32714138 11.63438424],[  7.         528.40241558],[  8.        585.4467232],"[23, 11, 6, 22, 25, 17, 14, 21, 2, 4, 16, 19, 18, 7, 1, 8, 24, 20, 10, 12, 13, 9, 15, 3, 5]","(7.0, 528.4024155798494)"
5,240,[  7.1125     559.07536322],[0.31598062 9.55673292],[  7.         528.40241558],[  8.         573.06501286],"[23, 11, 6, 22, 25, 17, 14, 21, 2, 4, 16, 19, 18, 7, 1, 8, 24, 20, 10, 12, 13, 9, 15, 3, 5]","(7.0, 528.4024155798494)"
6,200,[  7.015625   549.78795755],[0.12401959 8.6760344 ],[  7.         510.00654536],[  8.         562.31407962],"[14, 18, 25, 9, 11, 8, 10, 5, 17, 15, 19, 24, 7, 6, 2, 4, 3, 22, 20, 23, 21, 13, 12, 16, 1]","(7.0, 510.0065453620771)"
7,206,[  7.00625    542.21284246],[0.0788095  9.25263808],[  7.         499.84099196],[  8.         550.81161869],"[22, 18, 19, 20, 21, 25, 15, 14, 12, 16, 11, 6, 7, 8, 5, 1, 9, 23, 13, 17, 4, 24, 2, 10, 3]","(7.0, 499.840991955806)"
8,224,[  7.01875    534.41940861],[0.13564084 9.84745152],[  7.         499.84099196],[  8.         541.58600405],"[22, 18, 19, 20, 21, 25, 15, 14, 12, 16, 11, 6, 7, 8, 5, 1, 9, 23, 13, 17, 4, 24, 2, 10, 3]","(7.0, 499.840991955806)"
9,222,[  7.03125    525.75024216],[ 0.17399264 10.54321798],[  7.         474.31597491],[  8.         537.19359847],"[1, 21, 25, 9, 11, 8, 10, 5, 17, 15, 19, 24, 7, 6, 2, 4, 3, 22, 20, 23, 18, 13, 12, 16, 14]","(7.0, 474.31597490669117)"
