Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.61       674.12455532],[ 0.50783856 45.34459859],[  7.         540.17920141],[  9.         802.91768707],"[23, 18, 19, 13, 15, 14, 7, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 12, 9, 3, 10, 1, 22, 2]","(7.0, 540.1792014110378)"
1,346,[  7.365      627.62003352],[ 0.48143016 27.82649093],[  7.         540.17920141],[  8.         666.27015265],"[23, 18, 19, 13, 15, 14, 7, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 12, 9, 3, 10, 1, 22, 2]","(7.0, 540.1792014110378)"
2,332,[  7.2375     598.90617014],[ 0.42555111 22.71652426],[  7.         501.62939947],[  8.         627.03805716],"[23, 18, 19, 13, 15, 14, 12, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 7, 9, 3, 10, 1, 22, 2]","(7.0, 501.6293994681534)"
3,346,[  7.1475     577.09644874],[ 0.35460365 17.37123005],[  7.         501.62939947],[  8.         601.01217309],"[23, 18, 19, 13, 15, 14, 12, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 7, 9, 3, 10, 1, 22, 2]","(7.0, 501.6293994681534)"
4,326,[  7.0525     560.08055611],[ 0.22303307 12.67931681],[  7.         501.62939947],[  8.         577.31052872],"[23, 18, 19, 13, 15, 14, 12, 11, 6, 4, 5, 8, 21, 20, 16, 17, 24, 25, 7, 9, 3, 10, 1, 22, 2]","(7.0, 501.6293994681534)"
5,350,[  7.025      548.51824268],[ 0.15612495 12.07912797],[  7.        482.3418821],[  8.         560.15147073],"[22, 16, 3, 12, 15, 14, 4, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 482.34188209943414)"
6,358,[  7.0125     537.74748402],[ 0.11110243 12.53044764],[  7.        482.3418821],[  8.         550.47440694],"[22, 16, 3, 12, 15, 14, 4, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 482.34188209943414)"
7,344,[  7.015      527.94632555],[ 0.12155246 13.63852253],[  7.         481.68142722],[  8.         540.17920141],"[22, 16, 4, 12, 15, 14, 3, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 481.68142721631654)"
8,334,[  7.0025     516.28960879],[ 0.04993746 13.23504251],[  7.         481.68142722],[  8.         533.17660112],"[22, 16, 4, 12, 15, 14, 3, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 481.68142721631654)"
9,342,[  7.         504.19749971],[ 0.         10.50698391],[  7.         481.68142722],[  7.         520.52346634],"[22, 16, 4, 12, 15, 14, 3, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 481.68142721631654)"
10,334,[  7.         495.55499516],[0.         7.27148466],[  7.         474.78491858],[  7.         501.62939947],"[23, 18, 19, 13, 15, 14, 12, 11, 6, 4, 5, 2, 21, 20, 16, 17, 24, 25, 22, 9, 3, 10, 1, 7, 8]","(7.0, 474.7849185782547)"
11,340,[  7.         488.55290488],[0.         6.05361186],[  7.         474.78491858],[  7.         496.39333149],"[23, 18, 19, 13, 15, 14, 12, 11, 6, 4, 5, 2, 21, 20, 16, 17, 24, 25, 22, 9, 3, 10, 1, 7, 8]","(7.0, 474.7849185782547)"
12,352,[  7.         482.58903038],[0.         2.50141913],[  7.         469.05816126],[  7.         487.45977837],"[22, 15, 3, 12, 16, 14, 4, 1, 7, 5, 2, 6, 8, 13, 20, 21, 17, 18, 19, 9, 11, 25, 24, 23, 10]","(7.0, 469.0581612581703)"
13,344,[  7.         480.99455138],[0.         2.94431427],[  7.         460.29561937],[  7.        482.3418821],"[10, 16, 3, 12, 15, 14, 4, 1, 7, 5, 2, 6, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 460.295619367884)"
14,354,[  7.         479.42285618],[0.         3.94843597],[  7.         460.29561937],[  7.        482.3418821],"[10, 16, 3, 12, 15, 14, 4, 1, 7, 5, 2, 6, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 460.295619367884)"
15,336,[  7.0025     476.59391741],[0.04993746 4.49215885],[  7.         460.29561937],[  8.         480.99504385],"[10, 16, 3, 12, 15, 14, 4, 1, 7, 5, 2, 6, 8, 13, 22, 21, 17, 18, 19, 9, 11, 25, 24, 23, 20]","(7.0, 460.295619367884)"
